name,state,latitude,longitude,population
Agency Village,SD,45.58084,-97.08312,181
Agenda,KS,39.70778,-97.4317,64
Agoura,CA,34.14306,-118.73787,20537
Agoura Hills,CA,34.13639,-118.77453,20915
Agra,KS,39.76168,-99.11925,247
Agra,OK,35.89478,-96.87225,346
Agua Caliente,CA,38.32408,-122.48804,27090
Agua Dulce,CA,34.49638,-118.32563,3342
Agua Dulce,TX,27.78169,-97.90861,820
Agua Dulce,TX,31.65511,-106.13887,3014
Agua Fria,NM,35.65448,-106.02224,2800
Aguanga,CA,33.44281,-116.86502,1128
Aguila,AZ,33.94281,-113.17408,798
Aguilar,CO,37.40279,-104.65332,476
Aguilares,TX,27.44864,-99.08725,21
Ahmeek,MI,47.29881,-88.3965,146
Ahoskie,NC,36.28682,-76.98468,4910
Ahtanum,WA,46.55957,-120.62201,3601
Ahwahnee,CA,37.3655,-119.72627,2246
Aiken,SC,33.56042,-81.71955,30604
Ailey,GA,32.1874,-82.56569,552
Aina Haina,HI,21.28194,-157.7525,3558
Aina Haina-Hawaii Loa Ridge,HI,21.29139,-157.75578,3608
Ainaloa,HI,19.52694,-154.99306,2965
Ainsworth,IA,41.28891,-91.55238,571
Ainsworth,NE,42.55,-99.86262,1626
Air Force Academy,CO,38.99425,-104.86375,6680
Airmont,NY,41.10093,-74.11625,8891
Airport Drive,MO,37.14256,-94.51078,844
Airport Road,WY,43.99329,-107.94926,304
Airport Road Addition,TX,27.22004,-98.09945,93
Airville,PA,39.83232,-76.40635,3100
Airway Heights,WA,47.64461,-117.59327,6639
Aitkin,MN,46.53301,-93.71025,2053
Ajo,AZ,32.37172,-112.86071,3304
Ak Chin,AZ,32.28757,-112.00902,30
Ak-Chin Village,AZ,33.02838,-112.08764,862
Akaska,SD,45.33249,-100.12068,43
Akeley,MN,47.00413,-94.72695,431
Akhiok,AK,56.94549,-154.17184,72
Akiachak,AK,60.90944,-161.43139,627
Akiak,AK,60.91222,-161.21389,365
Akins,OK,35.50704,-94.69078,493
Akron,AL,32.87652,-87.74251,337
Akron,CO,40.16054,-103.21438,1724
Akron,IA,42.82888,-96.55948,1450
Akron,IN,41.03838,-86.02805,1133
Akron,MI,43.56808,-83.51413,393
Akron,NY,43.02089,-78.4953,2845
Akron,OH,41.08144,-81.51901,197542
Akron,PA,40.15676,-76.20217,3993
Akutan,AK,54.1343,-165.77515,1040
Alabama,NY,43.09645,-78.39086,1818
Alabaster,AL,33.24428,-86.81638,32707
Alachua,FL,29.75163,-82.42483,9757
Alafaya,FL,28.5641,-81.2114,78113
Alakanuk,AK,62.68889,-164.61528,735
Alamance,NC,36.03514,-79.48585,991
Alameda,CA,37.77099,-122.26087,78630
Alamillo,NM,34.25479,-106.91614,102
Alamo,CA,37.8502,-122.03218,14570
Alamo,GA,32.14712,-82.77792,3330
Alamo,IN,39.98199,-87.05723,65
Alamo,ND,48.58169,-103.46991,50
Alamo,NM,34.42089,-107.51088,1085
Alamo,NV,37.36496,-115.16446,1080
Alamo,TN,35.78479,-89.11729,2487
Alamo,TX,26.18369,-98.12306,19246
Alamogordo,NM,32.89953,-105.96027,30753
Alamosa,CO,37.46945,-105.87002,9819
Alamosa East,CO,37.47735,-105.84217,1458
Alanson,MI,45.44418,-84.78671,746
Alapaha,GA,31.3852,-83.22293,656
Alatna,AK,66.55722,-152.70722,37
Alba,MI,44.97473,-84.96866,295
Alba,MO,37.23839,-94.41745,539
Alba,PA,41.70507,-76.82829,153
Alba,TX,32.7929,-95.6344,510
Albany,CA,37.88687,-122.29775,19735
Albany,GA,31.57851,-84.15574,74843
Albany,IL,41.78947,-90.21929,890
Albany,IN,40.30088,-85.24191,2119
Albany,KY,36.6909,-85.13468,2012
Albany,LA,30.50436,-90.58231,1104
Albany,MN,45.62996,-94.57,2647
Albany,MO,39.22334,-94.11328,1791
Albany,MO,40.24861,-94.33107,1710
Albany,NH,43.95785,-71.16757,697
Albany,NY,42.65258,-73.75623,101228
Albany,OH,39.22757,-82.20237,905
Albany,OK,33.88149,-96.16276,143
Albany,OR,44.63651,-123.10593,52175
Albany,TX,32.72345,-99.2973,2014
Albany,VT,44.73088,-72.37983,186
Albany,WI,42.70778,-89.43706,1018
Albany,WY,41.18414,-106.13196,55
Albee,SD,45.05219,-96.55339,15
Albemarle,NC,35.35014,-80.20006,16003
Albers,IL,38.54338,-89.61231,1174
Albert,KS,38.45279,-99.01148,172
Albert City,IA,42.78192,-94.9486,688
Albert Lea,MN,43.64801,-93.36827,17674
Alberta,MN,45.5733,-96.04755,102
Alberta,VA,36.8657,-77.88639,285
Alberton,MT,47.00159,-114.47345,424
Albertson,NY,40.77343,-73.64318,5182
Albertville,AL,34.26783,-86.20878,21462
Albertville,MN,45.23774,-93.65441,7345
Albia,IA,41.02667,-92.80575,3829
Albin,WY,41.41776,-104.09829,190
Albion,CA,39.22351,-123.76863,168
Albion,IA,42.11249,-92.98853,476
Albion,ID,42.41269,-113.57806,273
Albion,IL,38.37755,-88.05615,1932
Albion,IN,41.3956,-85.42442,2325
Albion,ME,44.53229,-69.44254,2023
Albion,MI,42.2431,-84.75303,8229
Albion,NE,41.69084,-98.00367,1589
Albion,NY,43.24645,-78.19363,5998
Albion,OK,34.66288,-95.09996,102
Albion,PA,41.89061,-80.36645,1468
Albion,PA,40.95895,-78.94698,1553
Albion,WA,46.791,-117.25045,578
Albright,WV,39.49398,-79.64283,304
Albrightsville,PA,41.01453,-75.60102,202
Albuquerque,NM,35.08449,-106.65114,564559
Alburg,VT,44.97504,-73.30013,497
Alburnett,IA,42.14833,-91.61851,695
Alburtis,PA,40.51093,-75.60297,2519
Alcalde,NM,36.08891,-106.05363,285
Alcan Border,AK,62.67479,-141.1314,33
Alcester,SD,43.02138,-96.63087,761
Alcoa,TN,35.78953,-83.97379,9316
Alcolu,SC,33.751,-80.21425,429
Alcova,WY,42.55218,-106.71643,76
Alda,NE,40.87112,-98.46812,655
Aldan,PA,39.9215,-75.28796,4165
Alden,IA,42.52026,-93.37604,764
Alden,KS,38.24223,-98.31201,146
Alden,MI,44.88112,-85.27562,125
Alden,MN,43.67023,-93.57605,646
Alden,NY,42.90006,-78.49197,2589
Alder,MT,45.32381,-112.10721,103
Alder,WA,46.795,-122.269,227
Alderpoint,CA,40.17626,-123.6117,186
Alderson,OK,34.9001,-95.69193,291
Alderson,WV,37.72595,-80.64202,1182
Alderton,WA,47.16955,-122.22928,2893
Alderwood Manor,WA,47.808,-122.261,8442
Aldie,VA,38.97567,-77.64138,70
Aldora,GA,33.05207,-84.17575,103
Aldrich,MN,46.37635,-94.93669,47
Aldrich,MO,37.54754,-93.55465,80
Aledo,IL,41.19976,-90.74931,3564
Aledo,TX,32.69596,-97.60225,3412
Aleknagik,AK,59.27306,-158.61778,226
Aleneva,AK,58.06,-152.90972,37
Alex,OK,34.91479,-97.77865,554
Alexander,AR,34.62954,-92.44127,2848
Alexander,IA,42.8058,-93.47659,170
Alexander,KS,38.46946,-99.55317,62
Alexander,ME,45.08869,-67.46833,534
Alexander,ND,47.84308,-103.6427,252
Alexander,NY,42.90117,-78.25668,497
Alexander City,AL,32.94401,-85.95385,14718
Alexander Mills,NC,35.31068,-81.85871,661
Alexandria,AL,33.77399,-85.88552,3917
Alexandria,IN,40.26282,-85.67581,5047
Alexandria,KY,38.95951,-84.38799,9009
Alexandria,LA,31.31129,-92.44514,47889
Alexandria,MN,45.88524,-95.37754,11843
Alexandria,MO,40.35949,-91.45543,153
Alexandria,NE,40.24528,-97.38921,175
Alexandria,NH,43.61146,-71.79286,1415
Alexandria,OH,40.08895,-82.61239,523
Alexandria,PA,40.55646,-78.09778,330
Alexandria,SD,43.65359,-97.78285,623
Alexandria,TN,36.07756,-86.03332,976
Alexandria,VA,38.80484,-77.04692,159467
Alexandria Bay,NY,44.33588,-75.91773,1097
Alexis,IL,41.06337,-90.55597,809
Alfarata,PA,40.66257,-77.45694,149
Alford,FL,30.6938,-85.39215,467
Alford,MA,42.23564,-73.41345,406
Alfordsville,IN,38.56061,-86.94834,105
Alfred,ME,43.47647,-70.71839,2596
Alfred,NY,42.25424,-77.79055,4061
Alfred,TX,27.88058,-97.98472,91
Alger,OH,40.70616,-83.84383,845
Alger,WA,48.61983,-122.34127,403
Algodones,NM,35.38059,-106.47919,814
Algoma,MS,34.17622,-89.03117,602
Algoma,WI,44.60889,-87.43259,3094
Algona,IA,43.06997,-94.23302,5470
Algona,WA,47.27899,-122.25206,3144
Algonac,MI,42.61858,-82.5323,4055
Algonquin,IL,42.16558,-88.29425,30571
Algonquin,MD,38.5829,-76.10577,1241
Algood,TN,36.19589,-85.44858,3725
Alhambra,CA,34.09529,-118.12701,85551
Alhambra,IL,38.88838,-89.73148,661
Ali Chuk,AZ,31.81507,-112.55681,161
Ali Chukson,AZ,31.91369,-111.79929,132
Ali Molina,AZ,31.90008,-111.77429,71
Aliamanu / Salt Lakes / Foster Village,HI,21.36022,-157.91838,38833
Alice,ND,46.76192,-97.55593,40
Alice,TX,27.75225,-98.06972,19408
Alice Acres,TX,27.72864,-98.11473,490
Aliceville,AL,33.12957,-88.15142,2381
Alicia,AR,35.89313,-91.0829,119
Aline,OK,36.50976,-98.44897,219
Aliquippa,PA,40.63673,-80.24006,9197
Aliso Viejo,CA,33.56504,-117.72712,50195
Allagash,ME,47.08337,-69.04115,288
Allah,AZ,33.92809,-112.69073,100
Allakaket,AK,66.56556,-152.64556,104
Allamuchy,NJ,40.92177,-74.81017,78
Allapattah,FL,25.81454,-80.22394,54289
Allardt,TN,36.3809,-84.88439,631
Allegan,MI,42.5292,-85.8553,5071
Allegany,NY,42.09006,-78.49419,1738
Alleghany,CA,39.46962,-120.84328,58
Alleghenyville,PA,40.23426,-75.98855,1134
Alleman,IA,41.81999,-93.61161,443
Allen,KS,38.65612,-96.16972,176
Allen,MD,38.28734,-75.68798,210
Allen,MI,41.95699,-84.76774,189
Allen,NE,42.41639,-96.84532,364
Allen,OK,34.87898,-96.41251,935
Allen,SD,43.28083,-101.92432,420
Allen,TX,33.10317,-96.67055,98143
Allen City,KY,37.60954,-82.72766,193
Allen Park,MI,42.25754,-83.21104,27425
Allendale,CA,38.44463,-121.94302,1506
Allendale,IL,38.52671,-87.70975,460
Allendale,MI,42.97225,-85.95365,17579
Allendale,MO,40.48555,-94.28857,51
Allendale,NJ,41.04149,-74.12903,6822
Allendale,SC,33.00793,-81.30844,3126
Allenhurst,GA,31.7841,-81.60761,665
Allenhurst,NJ,40.23622,-74.00069,491
Allenport,PA,40.09813,-79.84893,527
Allenport,PA,40.37369,-77.87,648
Allenspark,CO,40.19443,-105.52555,528
Allensville,KY,36.71671,-87.06611,157
Allensville,PA,40.53591,-77.81694,503
Allensworth,CA,35.86357,-119.389,471
Allenton,WI,43.42055,-88.34093,823
Allentown,FL,30.76269,-87.04219,894
Allentown,GA,32.59321,-83.22571,162
Allentown,NJ,40.17789,-74.58349,1825
Allentown,PA,40.60843,-75.49018,120207
Allenville,IL,39.55559,-88.52978,146
Allenville,MO,37.22172,-89.75759,119
Allenwood,NJ,40.1415,-74.09986,925
Allenwood,PA,41.10758,-76.8983,321
Allerton,IA,40.7064,-93.36521,495
Allerton,IL,39.9117,-87.93642,287
Allgood,AL,33.91204,-86.50943,628
Alliance,NC,35.14489,-76.80216,749
Alliance,NE,42.10163,-102.87215,8522
Alliance,OH,40.91534,-81.10593,22055
Alligator,MS,34.08955,-90.71955,198
Allison,IA,42.75275,-92.79519,1029
Allison,PA,39.98896,-79.86477,625
Allison Park,PA,40.55951,-79.95867,21552
Allisonia,VA,36.93929,-80.73618,117
Allouez,WI,44.47749,-88.01621,13930
Alloway,NJ,39.56095,-75.36242,1402
Allport,AR,34.54204,-91.78402,114
Allport,PA,40.967,-78.2014,264
Allston,MA,42.35843,-71.12589,28821
Allston/Brighton,MA,42.35569,-71.14231,4185
Alluwe,OK,36.61037,-95.4872,84
Allyn,WA,47.38565,-122.82764,1963
Alma,AR,35.47787,-94.22188,5575
Alma,CO,39.28388,-106.0628,277
Alma,GA,31.53937,-82.46236,3536
Alma,IL,38.72171,-88.90922,315
Alma,KS,39.01667,-96.28916,802
Alma,MI,43.37892,-84.65973,9193
Alma,MO,39.0953,-93.54521,394
Alma,NE,40.09751,-99.36204,1146
Alma,NY,42.01257,-78.05778,847
Alma,TX,32.28542,-96.5461,339
Alma,WI,44.31997,-91.91488,748
Alma Center,WI,44.43718,-90.91126,495
Almedia,PA,41.01453,-76.38105,1078
Almena,KS,39.89223,-99.70706,394
Almena,WI,45.4169,-92.03296,663
Almira,WA,47.71098,-118.94085,269
Almond,NY,42.32229,-77.73833,446
Almond,WI,44.25886,-89.40706,433
Almont,MI,42.92058,-83.04493,2723
Almont,ND,46.72528,-101.50264,112
Almyra,AR,34.40621,-91.40957,274
Alna,ME,44.10619,-69.60366,702
Aloha,OR,45.49428,-122.86705,49425
Alondra Park,CA,33.88946,-118.33091,8592
Alorton,IL,38.58977,-90.12011,1933
Alpaugh,CA,35.88773,-119.48734,1026
Alpena,AR,36.29479,-93.29213,394
Alpena,MI,45.06168,-83.43275,10175
Alpena,SD,44.18138,-98.36565,275
Alpha,IL,41.1917,-90.38013,648
Alpha,MI,46.04384,-88.37708,138
Alpha,MN,43.63885,-94.87082,125
Alpha,NJ,40.66704,-75.1574,2303
Alpha Mobile Home Park,LA,32.3896,-93.76574,1
Alpharetta,GA,34.07538,-84.29409,63693
Alpine,AZ,33.84811,-109.14313,145
Alpine,CA,32.83505,-116.76641,14236
Alpine,CO,37.68917,-106.58893,174
Alpine,NJ,40.95593,-73.93125,1917
Alpine,OR,44.33012,-123.36038,171
Alpine,TX,30.35862,-103.66206,5952
Alpine,UT,40.45328,-111.77799,10235
Alpine,WY,43.16353,-111.01802,850
Alpine Northeast,WY,43.19426,-111.00744,196
Alpine Northwest,WY,43.1805,-111.03321,244
Alpine Village,CA,38.77296,-119.81796,114
Alpine Village,CA,33.60614,-116.46974,146
Alsace Manor,PA,40.39982,-75.86048,478
Alsea,OR,44.38151,-123.59649,164
Alsen,ND,48.63056,-98.70485,33
Alsey,IL,39.5606,-90.43401,217
Alsip,IL,41.66892,-87.73866,19346
Alstead,NH,43.14897,-72.36064,2071
Alston,GA,32.08074,-82.47763,158
Alta,CA,39.20657,-120.81133,610
Alta,IA,42.67359,-95.29055,1883
Alta,UT,40.58884,-111.63798,390
Alta,WY,43.75381,-111.03689,394
Alta Sierra,CA,35.73126,-118.5539,7047
Alta Sierra,CA,39.14156,-121.05384,6911
Alta Vista,IA,43.19858,-92.41712,261
Alta Vista,KS,38.86389,-96.48917,429
Altadena,CA,34.18973,-118.13118,42777
Altamahaw,NC,36.1843,-79.50725,347
Altamont,IL,39.06199,-88.74811,2308
Altamont,KS,37.19034,-95.29719,1047
Altamont,MO,39.88862,-94.08911,200
Altamont,NY,42.70063,-74.03374,1720
Altamont,OR,42.20681,-121.73722,19257
Altamont,PA,40.7862,-76.22494,602
Altamont,SD,44.83969,-96.6895,34
Altamont,TN,35.42952,-85.72303,1027
Altamont,UT,40.3594,-110.28627,263
Altamonte Springs,FL,28.66111,-81.36562,43159
Altavista,VA,37.11181,-79.28558,3474
Altenburg,MO,37.63088,-89.58538,351
Altha,FL,30.57047,-85.12714,529
Altheimer,AR,34.31926,-91.84736,894
Altmar,NY,43.51007,-76.00214,407
Alto,CA,37.90437,-122.52553,711
Alto,GA,34.46732,-83.57378,1167
Alto,TX,31.65045,-95.07272,1223
Alto,WI,43.67665,-88.79511,1048
Alto Bonito,TX,26.30757,-98.6403,569
Alto Bonito Colonia,TX,26.30424,-98.6403,624
Alto Pass,IL,37.57033,-89.31759,382
Alton,IA,42.98749,-96.01057,1264
Alton,IL,38.8906,-90.18428,27003
Alton,IN,38.12256,-86.41776,55
Alton,KS,39.47084,-98.94814,99
Alton,ME,45.03145,-68.72865,848
Alton,MO,36.69423,-91.3993,877
Alton,NH,43.4523,-71.21757,501
Alton,TX,26.28729,-98.31335,15760
Alton,UT,37.43776,-112.48271,116
Alton North (historical),TX,26.29535,-98.30446,5541
Altona,CO,40.13387,-105.28277,501
Altona,IL,41.11476,-90.16456,511
Altona,IN,41.35144,-85.15497,198
Altona,NY,44.88837,-73.6557,730
Altoona,AL,34.02621,-86.32609,924
Altoona,FL,28.96582,-81.64869,89
Altoona,IA,41.64416,-93.46466,16984
Altoona,KS,37.52394,-95.66137,381
Altoona,PA,40.51868,-78.39474,45344
Altoona,WA,46.26677,-123.65625,39
Altoona,WI,44.80468,-91.44321,7321
Altura,MN,44.07163,-91.9396,489
Alturas,CA,41.48714,-120.54349,2594
Alturas,FL,27.87169,-81.71508,4185
Altus,AR,35.4462,-93.76242,730
Altus,OK,34.63813,-99.33398,19214
Alum Bank,PA,40.18063,-78.61363,218
Alum Creek,WV,38.28676,-81.80513,1749
Alva,FL,26.71562,-81.61008,2596
Alva,OK,36.80499,-98.66718,5180
Alvarado,MN,48.19415,-96.99618,356
Alvarado,TX,32.40653,-97.21168,4015
Alvin,IL,40.30837,-87.60835,316
Alvin,TX,29.42385,-95.2441,25791
Alvo,NE,40.87194,-96.38751,131
Alvord,IA,43.3422,-96.30114,193
Alvord,TX,33.35845,-97.69475,1403
Alvordton,OH,41.66588,-84.43689,217
Alzada,MT,45.02304,-104.41245,29
Ama,LA,29.95215,-90.29647,1316
Amado,AZ,31.70787,-111.06454,295
Amador City,CA,38.41936,-120.8241,189
Amagansett,NY,40.97371,-72.14369,1165
Amagon,AR,35.56202,-91.1104,93
Amalga,UT,41.86104,-111.89578,514
Amana,IA,41.80001,-91.87073,442
Amanda,OH,39.64951,-82.74434,747
Amanda Park,WA,47.45949,-123.89789,252
Amargosa Colonia,TX,27.88641,-98.10723,291
Amarillo,TX,35.222,-101.8313,198645
Amasa,MI,46.2321,-88.45076,283
Amaya Colonia,TX,28.71026,-99.83533,93
Amazonia,MO,39.88611,-94.89191,307
Amber,OK,35.16034,-97.87921,454
Amberg,WI,45.50302,-87.99373,180
Amberley,OH,39.20478,-84.428,3591
Ambia,IN,40.49004,-87.51696,236
Ambler,AK,67.08611,-157.85139,267
Ambler,PA,40.15455,-75.22157,6505
Amboy,IL,41.7142,-89.32871,2356
Amboy,IN,40.60143,-85.92888,378
Amboy,MN,43.88801,-94.15663,522
Amboy,WA,45.91011,-122.44649,1608
Ambridge,PA,40.58923,-80.22506,6859
Ambrose,GA,31.5938,-83.01431,380
Ambrose,ND,48.95392,-103.48269,27
Amelia,LA,29.66632,-91.10204,2459
Amelia,OH,39.0284,-84.21771,4932
Amelia Court House,VA,37.34293,-77.98056,1099
Amenia,ND,47.00497,-97.21898,93
Amenia,NY,41.84926,-73.55679,955
American Canyon,CA,38.17492,-122.2608,20554
American Falls,ID,42.78602,-112.85444,4321
American Fork,UT,40.3769,-111.79576,28326
Americus,GA,32.07239,-84.23269,16028
Americus,IN,40.52587,-86.75806,423
Americus,KS,38.50696,-96.26194,884
Amery,WI,45.30691,-92.36214,2834
Ames,IA,42.03471,-93.61994,65060
Ames,KS,39.56944,-97.44198,33
Ames,NE,41.45222,-96.62447,14
Ames,NY,42.83757,-74.60153,142
Ames,OK,36.24587,-98.18534,247
Ames,TX,31.52099,-97.77947,1171
Ames,TX,30.05383,-94.74353,1064
Ames Lake,WA,47.63288,-121.96623,1486
Amesbury,MA,42.85842,-70.93005,18313
Amesti,CA,36.96356,-121.77912,3478
Amesville,OH,39.40063,-81.9557,158
Amherst,CO,40.68277,-102.16602,58
Amherst,MA,42.36723,-72.51852,39833
Amherst,ME,44.8334,-68.36419,239
Amherst,NE,40.7689,-99.26982,248
Amherst,NH,42.86147,-71.62535,613
Amherst,NY,42.97839,-78.79976,122366
Amherst,OH,41.39782,-82.22238,12135
Amherst,TX,34.01037,-102.41546,683
Amherst,VA,37.58514,-79.05141,2210
Amherst,WI,44.45081,-89.28484,1038
Amherst Center,MA,42.37537,-72.51925,19065
Amherst Junction,WI,44.46886,-89.31261,374
Amherstdale,WV,37.78538,-81.80928,350
Amidon,ND,46.48223,-103.32185,21
Amistad Acres,TX,29.51522,-101.16732,53
Amite,LA,30.72657,-90.50898,4640
Amity,AR,34.26482,-93.46102,702
Amity,MO,39.87083,-94.43579,53
Amity,OR,45.11567,-123.20733,1641
Amity Gardens,PA,40.27426,-75.73519,3402
Amityville,NY,40.67899,-73.41707,9486
Ammon,ID,43.46964,-111.96664,14960
Amo,IN,39.6881,-86.61361,415
Amoret,MO,38.2553,-94.58773,184
Amorita,OK,36.92447,-98.29174,39
Amory,MS,33.98428,-88.4881,7067
Amsterdam,MO,38.34974,-94.58912,235
Amsterdam,MT,45.75798,-111.31996,180
Amsterdam,NY,42.93869,-74.18819,18008
Amsterdam,OH,39.95757,-82.37821,549
Amsterdam,OH,40.47368,-80.92287,489
Anacoco,LA,31.25213,-93.34128,845
Anaconda,MT,46.12854,-112.94226,9417
Anacortes,WA,48.5126,-122.61267,18103
Anacostia,DC,38.8665,-76.98386,11789
Anadarko,OK,35.07256,-98.24366,6717
Anaheim,CA,33.83529,-117.9145,350742
Anahola,HI,22.14226,-159.31388,2223
Anahuac,TX,29.773,-94.6827,2324
Anaktuvuk Pass,AK,68.14333,-151.73583,337
Anamoose,ND,47.8825,-100.24125,249
Anamosa,IA,42.10834,-91.28516,5469
Anawalt,WV,37.33595,-81.43649,208
Anchor,IL,40.56809,-88.53561,146
